id;name;idno;registration_date
1;multi-byte Jamaican Dollar North Carolina;Station;2019-11-28
2;Web revolutionize Branding;teal analyzin;2019-11-28
3;Ergonomic Rubber Chicken;Handcrafted P;2019-11-28
4;open-source hybrid;Solomon Islan;2019-11-28
5;Accountability Handmade Cotton Bacon;intermediate ;2019-11-27
6;Producer infrastructures;Robust Louisi;2019-11-27
7;Texas Managed Dobra;compress Fant;2019-11-28
8;navigating encoding;Fantastic Sma;2019-11-28
9;Usability;Applications ;2019-11-28
10;methodical;Pakistan;2019-11-28
